cost_bps,control,metric,arm,window_months,value,extra
20.0,spy_sma200,fnr_literal_rule,blend,36,0.544,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,36,0.456,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,36,0.1525,crit=0.502;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,36,0.181,crit=1.030;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,60,0.2015,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,60,0.499,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,60,0.501,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,60,0.191,crit=0.413;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,60,0.2385,crit=0.884;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,96,0.15,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,96,0.5195,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,96,0.4805,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,96,0.2425,crit=0.329;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,96,0.3205,crit=0.752;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,120,0.139,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,120,0.504,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,120,0.496,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,120,0.3185,crit=0.291;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,120,0.3965,crit=0.700;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,180,0.0915,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,180,0.493,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,180,0.507,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,180,0.385,crit=0.243;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,180,0.4895,crit=0.640;true_pair_sharpe=0.631;B=2000
20.0,spy_sma200,fpr_literal_rule,blend,240,0.0565,P(edge_hat>=0.2|true=0);B=2000
20.0,spy_sma200,fnr_literal_rule,blend,240,0.4955,P(edge_hat<0.2|true=0.2);B=2000
20.0,spy_sma200,power_literal_rule,blend,240,0.5045,1-FNR;B=2000
20.0,spy_sma200,power_sharpe_diff_test5pct,blend,240,0.474,crit=0.207;B=2000
20.0,spy_sma200,power_paired_test5pct,blend,240,0.6015,crit=0.585;true_pair_sharpe=0.631;B=2000
20.0,both,fpr_joint_rule_12m,blend,12,0.2064,blend_true_sharpe_set_to_better_control=0.642;B=5000
